index,name,type1,type2,ability1,ability2,hidden_ability,hp,attack,defense,sp_atk,sp_def,speed,total_stats,legendary,mythical,generation,Smogon_VGC_Usage_2022,Smogon_VGC_Usage_2023,Smogon_VGC_Usage_2024,Worlds_VGC_Usage_2022,Worlds_VGC_Usage_2023,Worlds_VGC_Usage_2024
1,bulbasaur,grass,poison,overgrow,No_ability,chlorophyll,45,49,49,65,65,45,318,FALSE,FALSE,generation-i,0,0,0,0,0,0
2,ivysaur,grass,poison,overgrow,No_ability,chlorophyll,60,62,63,80,80,60,405,FALSE,FALSE,generation-i,0,0,0,0,0,0
3,venusaur,grass,poison,overgrow,No_ability,chlorophyll,80,82,83,100,100,80,525,FALSE,FALSE,generation-i,NA,0,0.4441,19.62,0,0.09
3,venusaur-mega,grass,poison,thick-fat,No_ability,None,80,100,123,122,120,80,625,FALSE,FALSE,generation-i,0,0,0,0,0,0
3,venusaur-gmax,grass,poison,overgrow,No_ability,chlorophyll,80,82,83,100,100,80,525,FALSE,FALSE,generation-i,0,0,0,0,0,0
4,charmander,fire,No_type,blaze,No_ability,solar-power,39,52,43,60,50,65,309,FALSE,FALSE,generation-i,0,0,0,0,0,0
5,charmeleon,fire,No_type,blaze,No_ability,solar-power,58,64,58,80,65,80,405,FALSE,FALSE,generation-i,0,0,0,0,0,0
6,charizard,fire,flying,blaze,No_ability,solar-power,78,84,78,109,85,100,534,FALSE,FALSE,generation-i,NA,0.44681,0.04722,20.53,0,3.19
6,charizard-mega-x,fire,dragon,tough-claws,No_ability,None,78,130,111,130,85,100,634,FALSE,FALSE,generation-i,0,0,0,0,0,0
6,charizard-mega-y,fire,flying,drought,No_ability,None,78,104,78,159,115,100,634,FALSE,FALSE,generation-i,0,0,0,0,0,0
6,charizard-gmax,fire,flying,blaze,No_ability,solar-power,78,84,78,109,85,100,534,FALSE,FALSE,generation-i,0,0,0,0,0,0
7,squirtle,water,No_type,torrent,No_ability,rain-dish,44,48,65,50,64,43,314,FALSE,FALSE,generation-i,0,0,0,0,0,0
8,wartortle,water,No_type,torrent,No_ability,rain-dish,59,63,80,65,80,58,405,FALSE,FALSE,generation-i,0,0,0.00017,0,0,0
9,blastoise,water,No_type,torrent,No_ability,rain-dish,79,83,100,85,105,78,530,FALSE,FALSE,generation-i,NA,0,0.14874,4.98,0,0.18
